generation_number,p_11,p_22,p_33,p_44,q_11,q_22,q_33,q_44,r_11,r_22,r_33,r_44,fitness
1,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1382.4
1,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,124.704
1,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,124.762
1,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,208.627
1,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,101.376
2,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012776919362252673,96.676
2,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.005,0.01,0.01,0.01,1728.0
2,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.012105436112794393,0.01,0.01,0.01,0.01,410.02
2,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0.01,0.009167476911370952,0.01,0.01,83.773
2,0.25,0.25,0.25,0.5,0.01,0.01,0.01,0.01222433549203132,0.01,0.01,0.01,0.01,126.029
