agent_id,generation_number,p_11,p_22,p_33,p_44,q_11,q_22,q_33,q_44,r_11,r_22,r_33,r_44,fitness
1,1,0.005,0.005,0.005,0.005,0.005,0.000661200334586047,0.005,0.005,0.005,0.005,0.005,0.0037447863480880583,288.36
2,1,0.005,0.005,0.005,0.005,0.0023086236545418514,0.005,0.005,0.0029904446490354696,0.005,0.005,0.005,0.005,189.85
3,1,0.005,0.005,0.005,0.005,0.005,0.005,0.0022335070290721007,0.005,0.005,0.005,0.00488260191967015,0.0019891888415406993,369.072
4,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0035454674143504533,0.005,0.005,0.003880620338943157,0.005,219.024
5,1,0.005,0.005,0.005,0.005,0.0007450460622457147,0.005,0.005,0.005,0.003633105447044536,0.005,0.0028057057899106633,0.005,185.76
6,2,0.005,0.005,0.005,0.005,0.0007450460622457147,0.005,0.0022335070290721007,0.005,0.005,0.005,0.005,0.005,358.56
7,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0035454674143504533,0.005,0.005,0.003880620338943157,0.005,256.032
8,2,0.005,0.005,0.005,0.005,0.0007450460622457147,0.005,0.005,0.0035454674143504533,0.005,0.005,0.0028057057899106633,0.005,144.922
9,2,0.005,0.005,0.005,0.005,0.0023086236545418514,0.0006553851290170007,0.005,0.0029904446490354696,0.005,0.005,0.003880620338943157,0.005,178.848
10,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003633105447044536,0.005,0.0028057057899106633,0.0037447863480880583,243.36
11,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0035454674143504533,0.003633105447044536,0.005,0.0028057057899106633,0.0037447863480880583,427.68
12,3,0.005,0.005,0.005,0.005,0.0023086236545418514,0.005,0.005,0.0035454674143504533,0.005,0.005,0.0028057057899106633,0.005,764.784
13,3,0.005,0.005,0.005,0.005,0.0023086236545418514,0.0006553851290170007,0.005,0.0029904446490354696,0.005,0.005,0.003880620338943157,0.005,114.739
14,3,0.005,0.005,0.005,0.005,0.0023086236545418514,0.005,0.005,0.005,0.003633105447044536,0.005,0.0028057057899106633,0.0015199199720704925,310.752
15,3,0.005,0.005,0.005,0.005,0.0007450460622457147,0.005,0.005,0.0035454674143504533,0.005,0.005,0.0028057057899106633,0.005,934.74
